NO	FILE	COMPARISON	ADJ_LEMMA	CORPUS	YEAR	VARIETY	NEWSPAPER	WORD_COUNT	FORM	ADJ_LEN	READABILITY	LEXDIV	STRESS_LAST_SYLL	PERSIST_COMP	PERSIST_FORM	PERSIST_DIST	SYNT_FUN	ADVMOD	COMPL	ZIPF_FREQ	DPNOFREQ	RHY_SCORE_POS	RHY_SCORE_ALT_POS	SEG_SCORE	SEG_SCORE_ALT	FINAL_SEGMENT
151021	4704541	synthetic	large	SAVE2020	2020	LK	Daily Mirror	598	superlative	5	-0,128138607	-13,46062069	y	synthetic	comparative	279	a	n	n	5,737067526	0,156390238	0	0,333333333	0,166666667	0,230769231	0,583333333
151015	4704541	synthetic	large	SAVE2020	2020	LK	Daily Mirror	598	superlative	5	-0,128138607	-13,46062069	y	none	none	none	a	n	n	5,737067526	0,156390238	0	0,333333333	0,166666667	0,230769231	0,583333333
156944	4719987	synthetic	late	SAVE2020	2020	LK	Daily News	1324	superlative	4	-19,6849193	16,75390711	y	synthetic	superlative	54	a	n	n	5,749469696	0,10417751	0	0,333333333	0,166666667	0,214285714	0,5
158199	4726110	synthetic	low	SAVE2020	2020	LK	Daily News	423	comparative	3	-140,6753886	4,417128743	y	none	none	none	a	n	n	5,523690653	0,13553771	0,2	0,2	0,166666667	0,166666667	0
219892	41852463	synthetic	bad	NOW2020	2020	BrE	Daily Mail	2749	comparative	3	2157,857581	41,05665877	y	synthetic	superlative	152	a	n	n	5,516320629	0,020089946	0,5	0,5	0,166666667	0,222222222	0,375
219890	41852463	synthetic	bad	NOW2020	2020	BrE	Daily Mail	2749	comparative	3	2157,857581	41,05665877	y	none	none	none	a	n	n	5,516320629	0,020089946	0,5	0,5	0,166666667	0,222222222	0,375
233815	41786608	analytic	fanciful	NOW2020	2020	BrE	Daily Mail	2041	comparative	8	16,41731373	34,82365666	n	synthetic	superlative	773	p	y	n	2,915529181	0,000659541	0	0,285714286	0,170238095	0,108187135	0,875
218943	41773828	synthetic	good	NOW2020	2020	BrE	Independent	1381	superlative	4	-448,1345568	-4,871824411	y	synthetic	superlative	171	a	n	n	6,239948832	0,031269529	0,333333333	0,5	0,173611111	0,215909091	0,5
218707	41750919	synthetic	hard	NOW2020	2020	BrE	Independent	1756	superlative	4	756,3379177	14,25604973	y	analytic	comparative	816	a	n	n	5,44658211	0,0237189	0	0	0,17637486	0,253872054	0,75
157148	4720975	synthetic	hot	SAVE2020	2020	LK	Daily News	529	superlative	3	-246,750385	8,138362878	y	none	none	none	a	n	n	4,690358433	0,048267013	0	0,166666667	0,178571429	0,233333333	0,875
219742	41839006	synthetic	low	NOW2020	2020	BrE	Daily Mail	1611	comparative	3	5,644551768	29,5576557	y	synthetic	comparative	317	a	n	n	5,368592578	0,020965242	0	0,5	0,178571429	0,157407407	0
219739	41839006	synthetic	low	NOW2020	2020	BrE	Daily Mail	1611	comparative	3	5,644551768	29,5576557	y	synthetic	superlative	813	a	n	n	5,368592578	0,020965242	0	0,5	0,178571429	0,157407407	0
150875	4704150	synthetic	low	SAVE2020	2020	LK	Daily Mirror	1096	comparative	3	-156,5271334	0,877490109	y	analytic	superlative	332	p	y	t	5,523690653	0,13553771	0	0	0,178947368	0,178947368	0
234324	41850116	analytic	delicious	NOW2020	2020	BrE	Daily Mail	1194	superlative	9	194,7438419	42,70653142	n	none	none	none	a	n	n	3,943557904	0,004944891	0	0	0,179337232	0,132897603	1
151637	4705797	synthetic	good	SAVE2020	2020	LK	Daily Mirror	490	comparative	4	-421,2454539	23,73680313	y	none	none	none	p	n	t	6,377398081	0,189114879	0	0	0,181818182	0,25	0,25
157140	4720967	synthetic	large	SAVE2020	2020	LK	Daily News	1448	comparative	5	-182,9505588	16,67887619	y	analytic	superlative	510	a	n	n	5,737067526	0,156390238	0	0,25	0,181818182	0,25	0,666666667
217834	41700893	synthetic	wide	NOW2020	2020	BrE	Daily Mail	1029	comparative	4	877,1307203	18,79543943	y	none	none	none	a	y	n	4,95361923	0,013017257	0	0,333333333	0,181818182	0,25	0,25
150921	4704243	synthetic	late	SAVE2020	2020	LK	Daily Mirror	1251	superlative	4	-152,5205294	18,20800344	y	analytic	superlative	430	a	n	n	5,749469696	0,10417751	0	1	0,181818182	0,230769231	0,5
233818	41786608	analytic	notorious	NOW2020	2020	BrE	Daily Mail	2041	superlative	9	16,41731373	34,82365666	n	analytic	comparative	387	n	n	p	4,280392731	0,007836017	0	0	0,182261209	0,096405229	1
157304	4721825	synthetic	high	SAVE2020	2020	LK	Daily News	144	comparative	4	-403,154152	2,881036371	y	synthetic	superlative	99	a	y	n	6,014574487	0,216514398	0	0	0,184065934	0,033333333	0
170293	4704898	analytic	effective	SAVE2020	2020	LK	Daily Mirror	1702	comparative	9	-116,9448209	30,25116264	n	analytic	superlative	319	a	n	n	5,105331781	0,099352082	0	0	0,1875	0,142857143	0
171536	4720967	analytic	effective	SAVE2020	2020	LK	Daily News	1448	comparative	9	-182,9505588	16,67887619	n	synthetic	comparative	1744	a	n	n	5,105331781	0,099352082	0	0	0,1875	0,142857143	0
171535	4720967	analytic	important	SAVE2020	2020	LK	Daily News	1448	superlative	9	-182,9505588	16,67887619	n	none	none	none	a	n	n	5,557312379	0,161559804	0	0	0,1875	0,258241758	0,833333333
156956	4719987	synthetic	good	SAVE2020	2020	LK	Daily News	1324	comparative	4	-19,6849193	16,75390711	y	synthetic	comparative	55	a	n	n	6,377398081	0,189114879	0	0,125	0,1875	0,235294118	0,25
217565	41666996	synthetic	small	NOW2020	2020	BrE	Independent	1013	comparative	5	1105,061832	18,13967635	y	none	none	none	a	n	n	5,404549659	0,025648011	0	0,2	0,1875	0,235294118	0,625
150876	4704150	synthetic	large	SAVE2020	2020	LK	Daily Mirror	1096	superlative	5	-156,5271334	0,877490109	y	analytic	comparative	104	a	y	n	5,737067526	0,156390238	0	0,25	0,1875	0,235294118	0,583333333
